post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Manilla para cremona Quartus Espag",manilla-para-cremona-quartus-espag,,1119,,,simple,,"Accesorios puertas y ventanas > Cierres para correderas",,,,,"SPNGD SPNGI SPBLD SPBLI",1|1|0,,,Yale,0|1|0
"Mecanismo Unipunto Serie 25",mecanismo-unipunto-serie-25,,1121,,,simple,,"Accesorios puertas y ventanas > Cierres para correderas",,,X124,0|1|0,,,,,,
"Tirador para correderas 240",tirador-correderas-240,,1122,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Cierres para correderas",,,,,"240N 240B",0|1|0,,,,
"Escuadra Bloqueo 3200",escuadra-bloqueo-3200,,1123,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Escuadra Bloqueo 3308 RPT",escuadra-bloqueo-3308-rpt,,1124,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Escuadra Bloqueo S-33",escuadra-bloqueo-s33,,1125,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Escuadra S-38",escuadra-s38,,1126,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Soporte Muro Cortina",soporte-muro-cortina,,1127,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Soporte simple Muro Cortina",soporte-simple-muro-cortina,,1128,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Tornillo M8 x 20mm",tornillo-m8-20mm,,1129,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,,
"Unión Palillo S-38",union-palillo-s38,,1130,,,simple,,"Accesorios puertas y ventanas > Escuadras, uniones y soportes",,,,,,,,,Anudal,0|1|0
"Carro regulable doble aguja Serie 25 TP",carro-regulable-doble-aguja-serie-25-tp,,1131,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Carro regulable doble aguja Serie 33",carro-regulable-doble-aguja-serie-33,,1132,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Carro regulable doble Serie 25",carro-regulable-doble-serie-25,,1133,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Carro regulable Serie 25",carro-regulable-serie-25,,1134,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Carro regulable simple aguja Serie 25",carro-regulable-simple-aguja-serie-25,,1135,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Rodamiento 4800",rodamiento-4800,,1136,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Rodamiento 5000",rodamiento-5000,,1137,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
"Soporte rodamiento 4800",soporte-rodamiento-4800,,1138,,,simple,,"Accesorios puertas y ventanas > Rodamientos",,,,,,,,,,
